1;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
2;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
3;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
4;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
5;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
6;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
7;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
8;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
9;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
10;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
11;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
12;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
13;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
14;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
15;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
16;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
17;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
18;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
19;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
20;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
21;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
22;0;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;1;0;0;0;1;1;1;1;0;0;0
23;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;1;0;0;0;0;1;1;1
24;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
